date,home_team,away_team,home_xg,away_xg,league,season
2022-10-07,Hoffenheim,Werder Bremen,1.30088,1.43801,Bundesliga,2022
2022-10-08,Bayer Leverkusen,Schalke 04,2.06947,0.139609,Bundesliga,2022
2022-10-08,Mainz 05,RasenBallsport Leipzig,0.649518,1.4696,Bundesliga,2022
2022-10-08,Bochum,Eintracht Frankfurt,0.649959,0.78428,Bundesliga,2022
2022-10-08,Augsburg,Wolfsburg,2.01628,2.30655,Bundesliga,2022
2022-10-08,Borussia Dortmund,Bayern Munich,1.42928,1.22934,Bundesliga,2022
2022-10-09,Borussia M.Gladbach,FC Cologne,2.72658,1.45617,Bundesliga,2022
2022-10-09,Hertha Berlin,Freiburg,1.25889,1.75899,Bundesliga,2022
2022-10-09,VfB Stuttgart,Union Berlin,1.09713,0.73441,Bundesliga,2022
2022-10-14,Schalke 04,Hoffenheim,0.697562,3.51699,Bundesliga,2022
2022-10-15,Eintracht Frankfurt,Bayer Leverkusen,4.35761,0.503272,Bundesliga,2022
2022-10-15,Wolfsburg,Borussia M.Gladbach,1.74427,0.895157,Bundesliga,2022
2022-10-15,VfB Stuttgart,Bochum,2.40775,1.52762,Bundesliga,2022
2022-10-15,Werder Bremen,Mainz 05,1.20268,1.10835,Bundesliga,2022
2022-10-15,RasenBallsport Leipzig,Hertha Berlin,3.30191,2.42152,Bundesliga,2022
2022-10-16,FC Cologne,Augsburg,1.54576,0.207517,Bundesliga,2022
2022-10-16,Union Berlin,Borussia Dortmund,1.47199,0.797656,Bundesliga,2022
2022-10-16,Bayern Munich,Freiburg,2.07998,0.328313,Bundesliga,2022
2022-10-21,Mainz 05,FC Cologne,2.21787,0.930558,Bundesliga,2022
2022-10-22,Borussia Dortmund,VfB Stuttgart,2.63936,0.989781,Bundesliga,2022
2022-10-22,Bayer Leverkusen,Wolfsburg,2.36747,1.15093,Bundesliga,2022
2022-10-22,Freiburg,Werder Bremen,3.33695,0.393506,Bundesliga,2022
2022-10-22,Hoffenheim,Bayern Munich,0.766181,3.12799,Bundesliga,2022
2022-10-22,Augsburg,RasenBallsport Leipzig,1.91261,2.38989,Bundesliga,2022
2022-10-22,Borussia M.Gladbach,Eintracht Frankfurt,1.36544,1.80175,Bundesliga,2022
2022-10-23,Bochum,Union Berlin,1.11544,1.00303,Bundesliga,2022
2022-10-23,Hertha Berlin,Schalke 04,1.05778,0.522522,Bundesliga,2022
2022-10-28,Werder Bremen,Hertha Berlin,1.53976,0.572257,Bundesliga,2022
2022-10-29,Bayern Munich,Mainz 05,4.33442,1.78114,Bundesliga,2022
2022-10-29,RasenBallsport Leipzig,Bayer Leverkusen,1.63234,0.141987,Bundesliga,2022
2022-10-29,Wolfsburg,Bochum,2.58922,0.444056,Bundesliga,2022
