date,home_team,away_team,home_xg,away_xg,league,season
2024-11-01,Sporting CP,Estrela,3.26,1.83,PrimeiraLiga,2024
2024-11-02,Rio Ave,Casa Pia,1.05,1.33,PrimeiraLiga,2024
2024-11-02,Farense,Benfica,0.75,1.5,PrimeiraLiga,2024
2024-11-02,GIL Vicente,Boavista,0.8,1.76,PrimeiraLiga,2024
2024-11-03,AVS,Famalicao,1.6,1.9,PrimeiraLiga,2024
2024-11-03,Guimaraes,Moreirense,0.46,0.36,PrimeiraLiga,2024
2024-11-03,Arouca,SC Braga,1.78,1.91,PrimeiraLiga,2024
2024-11-03,FC Porto,Estoril,2.94,1.01,PrimeiraLiga,2024
2024-11-04,Nacional,Santa Clara,1.35,1.05,PrimeiraLiga,2024
2024-11-08,Moreirense,GIL Vicente,1.1,0.8,PrimeiraLiga,2024
2024-11-09,Estoril,AVS,0.29,1.11,PrimeiraLiga,2024
2024-11-09,Casa Pia,Farense,1.15,1.01,PrimeiraLiga,2024
2024-11-09,Famalicao,Arouca,0.25,0.5,PrimeiraLiga,2024
2024-11-09,Boavista,Rio Ave,1.74,0.14,PrimeiraLiga,2024
2024-11-10,Estrela,Nacional,1.95,0.52,PrimeiraLiga,2024
2024-11-10,Santa Clara,Guimaraes,3.03,0.54,PrimeiraLiga,2024
2024-11-10,SC Braga,Sporting CP,0.8,0.9,PrimeiraLiga,2024
2024-11-10,Benfica,FC Porto,2.08,1.12,PrimeiraLiga,2024
2024-11-29,Farense,Estrela,1.01,0.37,PrimeiraLiga,2024
2024-11-30,Rio Ave,Moreirense,1.92,1.38,PrimeiraLiga,2024
2024-11-30,Nacional,Boavista,0.97,0.81,PrimeiraLiga,2024
2024-11-30,Sporting CP,Santa Clara,1.51,0.37,PrimeiraLiga,2024
2024-12-01,Estoril,Famalicao,1.42,1.04,PrimeiraLiga,2024
2024-12-01,Arouca,Benfica,0.52,2.05,PrimeiraLiga,2024
2024-12-01,AVS,SC Braga,0.89,3.55,PrimeiraLiga,2024
2024-12-02,Guimaraes,GIL Vicente,1.71,0.09,PrimeiraLiga,2024
2024-12-02,FC Porto,Casa Pia,1.82,0.46,PrimeiraLiga,2024
2024-12-05,Moreirense,Sporting CP,0.3,1.94,PrimeiraLiga,2024
2024-12-06,SC Braga,Estoril,3.71,1.51,PrimeiraLiga,2024
2024-12-07,GIL Vicente,Nacional,0.65,2.01,PrimeiraLiga,2024
2024-12-07,Benfica,Guimaraes,0.79,0.45,PrimeiraLiga,2024
2024-12-07,Santa Clara,Rio Ave,0.81,0.41,PrimeiraLiga,2024
2024-12-07,Famalicao,FC Porto,1.23,0.97,PrimeiraLiga,2024
2024-12-08,Boavista,Farense,1.49,1.44,PrimeiraLiga,2024
2024-12-08,Casa Pia,AVS,1.32,0.98,PrimeiraLiga,2024
2024-12-09,Estrela,Arouca,1.07,1.07,PrimeiraLiga,2024
2024-12-14,Farense,GIL Vicente,0.64,0.38,PrimeiraLiga,2024
2024-12-14,Nacional,Moreirense,0.6,0.23,PrimeiraLiga,2024
2024-12-14,Sporting CP,Boavista,1.92,0.72,PrimeiraLiga,2024
2024-12-15,Arouca,Santa Clara,0.66,0.28,PrimeiraLiga,2024
2024-12-15,AVS,Benfica,0.77,0.73,PrimeiraLiga,2024
2024-12-15,Estoril,Casa Pia,0.91,1.63,PrimeiraLiga,2024
2024-12-16,SC Braga,Famalicao,3.02,0.83,PrimeiraLiga,2024
2024-12-16,FC Porto,Estrela,1.1,0.13,PrimeiraLiga,2024
2024-12-16,Rio Ave,Guimaraes,0.18,2.59,PrimeiraLiga,2024
2024-12-19,Nacional,Benfica,0.15,1.47,PrimeiraLiga,2024
2024-12-20,Casa Pia,Arouca,0.81,0.62,PrimeiraLiga,2024
2024-12-21,Famalicao,Farense,1.22,0.25,PrimeiraLiga,2024
2024-12-21,Boavista,AVS,0.86,1.07,PrimeiraLiga,2024
2024-12-21,Moreirense,FC Porto,0.31,0.91,PrimeiraLiga,2024
2024-12-22,Santa Clara,SC Braga,1.41,1.58,PrimeiraLiga,2024
2024-12-22,GIL Vicente,Sporting CP,0.08,1.16,PrimeiraLiga,2024
2024-12-23,Benfica,Estoril,2.48,0.45,PrimeiraLiga,2024
2024-12-23,Guimaraes,Nacional,1.2,0.53,PrimeiraLiga,2024
2024-12-23,Estrela,Rio Ave,0.7,0.82,PrimeiraLiga,2024
2024-12-27,Arouca,GIL Vicente,0.51,1.27,PrimeiraLiga,2024
2024-12-28,AVS,Estrela,1.22,2.02,PrimeiraLiga,2024
2024-12-28,Estoril,Moreirense,1.12,0.63,PrimeiraLiga,2024
2024-12-28,FC Porto,Boavista,2.03,0.19,PrimeiraLiga,2024
2024-12-29,Rio Ave,Nacional,1.9,0.52,PrimeiraLiga,2024
2024-12-29,Farense,Guimaraes,0.26,2.05,PrimeiraLiga,2024
2024-12-29,SC Braga,Casa Pia,1.13,1.11,PrimeiraLiga,2024
2024-12-29,Sporting CP,Benfica,1.14,0.72,PrimeiraLiga,2024
2024-12-30,Famalicao,Santa Clara,1.04,1.39,PrimeiraLiga,2024
2025-01-03,Guimaraes,Sporting CP,1.79,1.14,PrimeiraLiga,2024
2025-01-04,Moreirense,AVS,1.34,1.01,PrimeiraLiga,2024
2025-01-04,Benfica,SC Braga,1.66,0.56,PrimeiraLiga,2024
2025-01-04,Boavista,Arouca,0.75,1.98,PrimeiraLiga,2024
2025-01-05,Santa Clara,Farense,0.63,0.09,PrimeiraLiga,2024
2025-01-05,Casa Pia,Famalicao,0.69,1.28,PrimeiraLiga,2024
2025-01-05,Estrela,Estoril,0.91,2.49,PrimeiraLiga,2024
2025-01-06,GIL Vicente,Rio Ave,1.93,0.56,PrimeiraLiga,2024
2025-01-12,Nacional,FC Porto,0.92,0.36,PrimeiraLiga,2024
2025-01-17,Benfica,Famalicao,4.11,0.16,PrimeiraLiga,2024
2025-01-18,Santa Clara,Estoril,2.02,0.78,PrimeiraLiga,2024
2025-01-18,Rio Ave,Sporting CP,0.06,4.1,PrimeiraLiga,2024
2025-01-18,Guimaraes,Arouca,1.13,1.65,PrimeiraLiga,2024
2025-01-19,Moreirense,Farense,0.59,0.31,PrimeiraLiga,2024
2025-01-19,Nacional,AVS,1.9,1.55,PrimeiraLiga,2024
2025-01-19,Estrela,SC Braga,0.28,1.23,PrimeiraLiga,2024
2025-01-19,GIL Vicente,FC Porto,1.97,1.05,PrimeiraLiga,2024
2025-01-20,Boavista,Casa Pia,1.16,1.35,PrimeiraLiga,2024
2025-01-24,Arouca,Moreirense,0.59,0.56,PrimeiraLiga,2024
2025-01-25,Farense,Rio Ave,2.07,1.4,PrimeiraLiga,2024
2025-01-25,Famalicao,Estrela,0.55,0.12,PrimeiraLiga,2024
2025-01-25,Casa Pia,Benfica,1.25,1.93,PrimeiraLiga,2024
2025-01-25,Sporting CP,Nacional,1.15,0.42,PrimeiraLiga,2024
2025-01-26,Estoril,Guimaraes,1.07,0.5,PrimeiraLiga,2024
2025-01-26,FC Porto,Santa Clara,3.19,0.04,PrimeiraLiga,2024
2025-01-26,SC Braga,Boavista,2.64,0.44,PrimeiraLiga,2024
2025-01-27,AVS,GIL Vicente,1.33,0.43,PrimeiraLiga,2024
2025-01-31,Boavista,Famalicao,0.08,1.68,PrimeiraLiga,2024
2025-02-01,Nacional,Arouca,0.79,1.56,PrimeiraLiga,2024
2025-02-01,Santa Clara,Casa Pia,1.87,0.25,PrimeiraLiga,2024
2025-02-01,GIL Vicente,Estoril,1.63,1.59,PrimeiraLiga,2024
2025-02-01,Guimaraes,AVS,1.27,0.21,PrimeiraLiga,2024
2025-02-02,Sporting CP,Farense,1.41,0.86,PrimeiraLiga,2024
2025-02-02,Estrela,Benfica,1.12,1.84,PrimeiraLiga,2024
2025-02-03,Moreirense,SC Braga,0.65,0.83,PrimeiraLiga,2024
2025-02-03,Rio Ave,FC Porto,1.38,1.52,PrimeiraLiga,2024
2025-02-07,FC Porto,Sporting CP,1.34,0.96,PrimeiraLiga,2024
2025-02-08,AVS,Santa Clara,0.75,1.29,PrimeiraLiga,2024
2025-02-08,Benfica,Moreirense,1.63,1.12,PrimeiraLiga,2024
2025-02-08,Famalicao,Guimaraes,0.39,0.4,PrimeiraLiga,2024
2025-02-09,Estoril,Boavista,1.58,1.25,PrimeiraLiga,2024
2025-02-09,Farense,Nacional,1.08,0.47,PrimeiraLiga,2024
2025-02-09,SC Braga,GIL Vicente,1.55,0.36,PrimeiraLiga,2024
2025-02-09,Casa Pia,Estrela,1.46,0.25,PrimeiraLiga,2024
2025-02-10,Arouca,Rio Ave,1.49,0.6,PrimeiraLiga,2024
2025-02-14,Boavista,Estrela,0.51,0.47,PrimeiraLiga,2024
2025-02-15,Moreirense,Casa Pia,2.15,1.05,PrimeiraLiga,2024
2025-02-15,Nacional,Estoril,2.39,1.48,PrimeiraLiga,2024
2025-02-15,Santa Clara,Benfica,0.82,2.59,PrimeiraLiga,2024
2025-02-15,Sporting CP,Arouca,2.13,2.06,PrimeiraLiga,2024
2025-02-16,Rio Ave,AVS,1.77,0.68,PrimeiraLiga,2024
2025-02-16,Farense,FC Porto,0.47,1.31,PrimeiraLiga,2024
2025-02-16,Guimaraes,SC Braga,1.34,0.11,PrimeiraLiga,2024
2025-02-17,GIL Vicente,Famalicao,1.42,2.02,PrimeiraLiga,2024
2025-02-21,SC Braga,Nacional,1.39,0.3,PrimeiraLiga,2024
2025-02-22,Casa Pia,GIL Vicente,0.79,0.13,PrimeiraLiga,2024
2025-02-22,Benfica,Boavista,5.44,0.23,PrimeiraLiga,2024
2025-02-22,Estoril,Rio Ave,1.06,1.31,PrimeiraLiga,2024
2025-02-23,Arouca,Farense,1.65,0.68,PrimeiraLiga,2024
2025-02-23,Estrela,Santa Clara,0.75,0.46,PrimeiraLiga,2024
2025-02-23,AVS,Sporting CP,1.13,1.24,PrimeiraLiga,2024
2025-02-23,Famalicao,Moreirense,0.85,0.5,PrimeiraLiga,2024
2025-02-24,FC Porto,Guimaraes,1.02,1.26,PrimeiraLiga,2024
2025-03-01,Nacional,Famalicao,0.97,1.1,PrimeiraLiga,2024
2025-03-01,Arouca,FC Porto,0.58,1.51,PrimeiraLiga,2024
