date,league,home,away,home_goals,away_goals,total_goals,actual,pred,correct,actual_over,pred_over,correct_ou,actual_btts,pred_btts,correct_btts,p_home,p_draw,p_away,p_over,p_btts
2025-08-09,Championship,Norwich,Millwall,1,2,3,A,H,0,1,UNDER,0,1,NG,0,0.3982,0.2703,0.3314,0.4173,0.507
2025-08-09,PrimeiraLiga,Nacional,Gil Vicente,0,2,2,A,H,0,0,UNDER,1,0,GG,0,0.381,0.2686,0.3504,0.3714,0.5476
2025-08-09,Championship,Middlesbrough,Swansea,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.5071,0.2604,0.2326,0.4173,0.507
2025-08-10,Eredivisie,Ajax,Telstar,2,0,2,H,H,1,0,OVER,0,0,GG,0,0.6753,0.217,0.1077,0.5569,0.5476
2025-08-10,Eredivisie,Utrecht,Heracles,4,0,4,H,H,1,1,OVER,1,0,NG,1,0.5893,0.2246,0.186,0.5569,0.507
2025-08-10,Eredivisie,AZ Alkmaar,Groningen,4,1,5,H,H,1,1,OVER,1,1,NG,0,0.5899,0.2248,0.1852,0.5569,0.507
2025-08-10,Eredivisie,Zwolle,Twente,1,0,1,H,A,0,0,OVER,0,0,GG,0,0.297,0.2535,0.4496,0.5569,0.5476
2025-08-10,PrimeiraLiga,Famalicao,Santa Clara,3,0,3,H,H,1,1,UNDER,0,0,NG,1,0.4013,0.3635,0.2352,0.3714,0.4862
2025-08-10,Championship,Leicester,Sheffield Weds,2,1,3,H,H,1,1,OVER,1,1,GG,1,0.5891,0.2219,0.189,0.6923,0.5476
2025-08-10,PrimeiraLiga,Moreirense,Alverca,2,1,3,H,H,1,1,UNDER,0,1,NG,0,0.3892,0.2744,0.3364,0.463,0.4862
2025-08-10,PrimeiraLiga,Sp Braga,Tondela,3,0,3,H,H,1,1,OVER,1,0,NG,1,0.6742,0.2177,0.108,0.6154,0.507
2025-08-11,PrimeiraLiga,Estoril,Estrela,1,1,2,D,H,0,0,UNDER,1,1,NG,0,0.5159,0.2917,0.1924,0.463,0.4862
2025-08-11,PrimeiraLiga,Porto,Guimaraes,3,0,3,H,H,1,1,OVER,1,0,GG,0,0.63,0.2401,0.1298,0.5625,0.5476
2025-08-15,Eredivisie,Telstar,Zwolle,0,2,2,A,A,1,0,OVER,0,0,GG,0,0.3078,0.2774,0.4148,0.5569,0.5435
2025-08-15,EPL,Liverpool,Bournemouth,4,2,6,H,H,1,1,OVER,1,1,GG,1,0.709,0.2278,0.0632,0.6,0.5476
2025-08-15,Ligue1,Rennes,Marseille,1,0,1,H,A,0,0,OVER,0,0,GG,0,0.2335,0.2438,0.5227,0.5632,0.6071
2025-08-15,LaLiga,Girona,Vallecano,1,3,4,A,A,1,1,UNDER,0,1,NG,0,0.3199,0.2883,0.3917,0.3704,0.507
2025-08-15,LaLiga,Villarreal,Oviedo,2,0,2,H,H,1,0,OVER,0,0,NG,1,0.5915,0.2228,0.1857,0.625,0.507
2025-08-15,PrimeiraLiga,AVS,Casa Pia,0,2,2,A,D,0,0,UNDER,1,0,NG,1,0.3065,0.3548,0.3386,0.3529,0.4862
2025-08-16,LeagueOne,Stevenage,Northampton,2,0,2,H,H,1,0,OVER,0,0,NG,1,0.5272,0.2374,0.2355,0.5094,0.4862
2025-08-16,Eredivisie,Excelsior,Feyenoord,1,2,3,A,A,1,1,OVER,1,1,GG,1,0.1315,0.2105,0.6581,0.7778,0.6471
2025-08-16,LeagueOne,Doncaster,Wycombe,1,1,2,D,H,0,0,OVER,0,1,NG,0,0.3719,0.3369,0.2912,0.5094,0.4862
2025-08-16,Championship,Wrexham,West Brom,2,3,5,A,D,0,1,UNDER,0,1,NG,0,0.344,0.3983,0.2577,0.3867,0.507
2025-08-16,LeagueOne,Lincoln,Plymouth,3,2,5,H,H,1,1,OVER,1,1,GG,1,0.4105,0.3579,0.2316,0.5714,0.5476
2025-08-16,LeagueOne,Reading,AFC Wimbledon,1,2,3,A,H,0,1,OVER,1,1,NG,0,0.4111,0.2791,0.3098,0.5094,0.507
2025-08-16,LeagueOne,Wigan,Peterboro,2,0,2,H,H,1,0,OVER,0,0,GG,0,0.451,0.2998,0.2492,0.5714,0.5476
2025-08-16,Championship,Blackburn,Birmingham,1,2,3,A,A,1,1,UNDER,0,1,NG,0,0.2281,0.288,0.4838,0.3867,0.4862
2025-08-16,Ligue1,Monaco,Le Havre,3,1,4,H,H,1,1,OVER,1,1,GG,1,0.6669,0.2153,0.1178,0.6415,0.5689
2025-08-16,PrimeiraLiga,Guimaraes,Estoril,3,2,5,H,H,1,1,OVER,1,1,GG,1,0.5216,0.2839,0.1945,0.5625,0.5476
2025-08-16,Championship,Watford,QPR,2,1,3,H,H,1,1,UNDER,0,1,NG,0,0.4171,0.2751,0.3078,0.4173,0.507
2025-08-16,Championship,Swansea,Sheffield United,1,0,1,H,A,0,0,UNDER,1,0,NG,1,0.3078,0.2774,0.4148,0.4173,0.507
2025-08-16,Championship,Sheffield Weds,Stoke,0,3,3,A,H,0,1,UNDER,0,0,NG,1,0.3892,0.2744,0.3364,0.4173,0.507
2025-08-16,Championship,Preston,Leicester,2,1,3,H,A,0,1,UNDER,0,1,NG,0,0.2281,0.288,0.4838,0.4173,0.507
2025-08-16,Championship,Millwall,Middlesbrough,0,3,3,A,H,0,1,UNDER,0,0,NG,1,0.4013,0.3635,0.2352,0.3867,0.507
2025-08-16,Championship,Bristol City,Charlton,0,0,0,D,H,0,0,UNDER,1,0,NG,1,0.4105,0.3579,0.2316,0.4173,0.507
2025-08-16,Ligue1,Lens,Lyon,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.3233,0.241,0.4357,0.5632,0.5689
2025-08-16,LeagueOne,Leyton Orient,Stockport,2,2,4,D,A,0,1,UNDER,0,1,NG,0,0.2957,0.3423,0.362,0.4286,0.507
2025-08-16,PrimeiraLiga,Tondela,Famalicao,0,1,1,A,A,1,0,UNDER,1,0,GG,0,0.3,0.3473,0.3527,0.463,0.5476
2025-08-16,LeagueOne,Cardiff,Rotherham,3,0,3,H,H,1,1,OVER,1,0,GG,0,0.5834,0.2262,0.1904,0.5714,0.5476
2025-08-16,LeagueOne,Barnsley,Bolton,1,1,2,D,A,0,0,OVER,0,1,GG,1,0.3199,0.2883,0.3917,0.5962,0.5689
2025-08-16,LaLiga,Valencia,Sociedad,1,1,2,D,D,1,0,UNDER,1,1,NG,0,0.3301,0.3822,0.2877,0.4043,0.4862
2025-08-16,LaLiga,Alaves,Levante,2,1,3,H,H,1,1,UNDER,0,1,NG,0,0.3719,0.3369,0.2912,0.4043,0.3869
2025-08-16,LaLiga,Mallorca,Barcelona,0,3,3,A,A,1,1,OVER,1,0,NG,1,0.1366,0.1795,0.6839,0.625,0.4862
2025-08-16,Championship,Portsmouth,Norwich,1,2,3,A,H,0,1,UNDER,0,1,NG,0,0.4384,0.3194,0.2422,0.4173,0.507
2025-08-16,Eredivisie,Groningen,Heerenveen,2,1,3,H,H,1,1,OVER,1,1,NG,0,0.4111,0.2791,0.3098,0.5569,0.507
2025-08-16,PrimeiraLiga,Estrela,Benfica,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.1311,0.0939,0.7749,0.8148,0.5689
2025-08-16,EPL,Wolves,Man City,0,4,4,A,A,1,1,OVER,1,0,GG,0,0.137,0.0982,0.7648,0.5556,0.5689
2025-08-16,Ligue1,Nice,Toulouse,0,1,1,A,H,0,0,OVER,0,0,GG,0,0.4778,0.3386,0.1835,0.5632,0.5476
2025-08-16,Eredivisie,Heracles,Nijmegen,1,4,5,A,A,1,1,OVER,1,1,GG,1,0.2373,0.2997,0.463,0.5569,0.5689
2025-08-16,EPL,Tottenham,Burnley,3,0,3,H,H,1,1,OVER,1,0,GG,0,0.3917,0.2332,0.3752,0.5556,0.6071
2025-08-16,LeagueOne,Burton,Port Vale,0,0,0,D,H,0,0,OVER,0,0,NG,1,0.3892,0.2744,0.3364,0.5714,0.507
2025-08-16,LeagueOne,Bradford,Luton,2,1,3,H,A,0,1,OVER,1,1,NG,0,0.3096,0.2732,0.4172,0.5,0.507
2025-08-16,EPL,Sunderland,West Ham,3,0,3,H,A,0,1,UNDER,0,0,NG,1,0.2991,0.223,0.4779,0.4884,0.507
2025-08-16,EPL,Brighton,Fulham,1,1,2,D,H,0,0,OVER,0,1,GG,1,0.5604,0.2193,0.2204,0.5556,0.5689
2025-08-16,EPL,Aston Villa,Newcastle,0,0,0,D,H,0,0,OVER,0,0,GG,0,0.3892,0.2744,0.3364,0.5556,0.5689
2025-08-16,LeagueOne,Blackpool,Huddersfield,3,2,5,H,D,0,1,OVER,1,1,GG,1,0.3065,0.3548,0.3386,0.5094,0.5689
2025-08-16,Championship,Derby,Coventry,3,5,8,A,A,1,1,UNDER,0,1,NG,0,0.3233,0.241,0.4357,0.4,0.507
2025-08-16,LeagueOne,Exeter,Mansfield,1,2,3,A,H,0,1,OVER,1,1,GG,1,0.3892,0.2744,0.3364,0.5094,0.5476
2025-08-17,LaLiga,Ath Bilbao,Sevilla,3,2,5,H,H,1,1,UNDER,0,1,NG,0,0.6377,0.2431,0.1192,0.4186,0.4862
2025-08-17,Ligue1,Brest,Lille,3,3,6,D,A,0,1,UNDER,0,1,GG,1,0.3036,0.2736,0.4227,0.4444,0.6071
2025-08-17,Ligue1,Angers,Paris FC,1,0,1,H,D,0,0,UNDER,1,0,NG,1,0.3065,0.3548,0.3386,0.2941,0.4862
2025-08-17,Ligue1,Auxerre,Lorient,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.4058,0.2564,0.3377,0.4444,0.507
2025-08-17,Ligue1,Metz,Strasbourg,0,1,1,A,A,1,0,UNDER,1,0,GG,0,0.2991,0.223,0.4779,0.475,0.5689
2025-08-17,EPL,Nott'm Forest,Brentford,3,1,4,H,H,1,1,UNDER,0,1,GG,1,0.4157,0.2383,0.346,0.4884,0.5476
2025-08-17,EPL,Chelsea,Crystal Palace,0,0,0,D,H,0,0,OVER,0,0,NG,1,0.5899,0.2248,0.1852,0.5556,0.507
2025-08-17,LaLiga,Espanol,Ath Madrid,2,1,3,H,A,0,1,UNDER,0,1,NG,0,0.1881,0.2253,0.5866,0.4186,0.4862
2025-08-17,Championship,Ipswich,Southampton,1,1,2,D,H,0,0,UNDER,1,1,GG,1,0.4111,0.2791,0.3098,0.4173,0.5435
2025-08-17,Championship,Hull,Oxford,3,2,5,H,H,1,1,UNDER,0,1,NG,0,0.5211,0.2815,0.1975,0.3867,0.4862
2025-08-17,EPL,Man United,Arsenal,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.1886,0.2232,0.5882,0.5556,0.5689
2025-08-17,Eredivisie,Volendam,AZ Alkmaar,2,2,4,D,A,0,1,OVER,1,1,GG,1,0.1286,0.2315,0.6399,0.7778,0.5689
2025-08-17,PrimeiraLiga,Santa Clara,Moreirense,0,1,1,A,H,0,0,UNDER,1,0,NG,1,0.4168,0.3559,0.2273,0.3714,0.507
2025-08-17,PrimeiraLiga,Alverca,Sp Braga,0,3,3,A,A,1,1,OVER,1,0,GG,0,0.1325,0.2387,0.6288,0.6111,0.5476
2025-08-17,Eredivisie,NAC Breda,For Sittard,2,1,3,H,A,0,1,UNDER,0,1,NG,0,0.3327,0.2998,0.3675,0.3962,0.507
2025-08-17,PrimeiraLiga,Rio Ave,Nacional,1,1,2,D,H,0,0,UNDER,1,1,NG,0,0.4228,0.3386,0.2386,0.463,0.507
2025-08-17,Eredivisie,Twente,PSV Eindhoven,0,2,2,A,A,1,0,OVER,0,0,GG,0,0.1517,0.2254,0.6229,0.5714,0.6071
2025-08-17,Eredivisie,Go Ahead Eagles,Ajax,2,2,4,D,A,0,1,OVER,1,1,GG,1,0.2032,0.2434,0.5534,0.5569,0.6882
2025-08-17,LaLiga,Celta,Getafe,0,2,2,A,H,0,0,UNDER,1,0,NG,1,0.5216,0.2839,0.1945,0.4043,0.4795
2025-08-17,PrimeiraLiga,Sp Lisbon,Arouca,6,0,6,H,H,1,1,OVER,1,0,NG,1,0.7351,0.2296,0.0353,0.6154,0.507
2025-08-17,Eredivisie,Sparta Rotterdam,Utrecht,2,1,3,H,A,0,1,OVER,1,1,GG,1,0.2335,0.2438,0.5227,0.5569,0.5689
2025-08-17,Ligue1,Nantes,Paris SG,0,1,1,A,A,1,0,OVER,0,0,GG,0,0.1366,0.1795,0.6839,0.6765,0.5476
2025-08-18,LaLiga,Elche,Betis,1,1,2,D,A,0,0,UNDER,1,1,NG,0,0.2235,0.2763,0.5003,0.4186,0.507
2025-08-18,EPL,Leeds,Everton,1,0,1,H,H,1,0,UNDER,1,0,GG,0,0.4974,0.2744,0.2281,0.4884,0.5476
2025-08-18,PrimeiraLiga,Gil Vicente,Porto,0,2,2,A,A,1,0,UNDER,1,0,NG,1,0.1399,0.2386,0.6214,0.463,0.507
