Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
24/11/2012,Austria Vienna,Mattersburg,3,1,H,1.29,6.17,11.73
24/11/2012,Neustadt,Wolfsberger AC,2,1,H,2.99,3.49,2.47
24/11/2012,Ried,Salzburg,3,1,H,5.43,3.94,1.7
25/11/2012,Admira,SK Rapid,0,2,A,2.79,3.58,2.57
27/11/2012,Wolfsberger AC,Sturm Graz,1,1,D,3.57,3.56,2.15
01/12/2012,Wolfsberger AC,Wacker Innsbruck,2,2,D,2.16,3.26,3.86
01/12/2012,Mattersburg,Admira,3,0,H,3.42,3.48,2.25
01/12/2012,SK Rapid,Ried,4,3,H,1.74,4.01,4.95
01/12/2012,Sturm Graz,Neustadt,3,1,H,1.56,4.48,6.2
02/12/2012,Salzburg,Austria Vienna,0,0,D,2.02,3.68,3.88
08/12/2012,Admira,Ried,0,3,A,2.31,3.66,3.1
08/12/2012,Wolfsberger AC,Austria Vienna,3,6,A,5.11,3.73,1.78
08/12/2012,Mattersburg,Neustadt,1,0,H,2.22,3.5,3.44
08/12/2012,Sturm Graz,Salzburg,1,1,D,3.25,3.45,2.33
09/12/2012,SK Rapid,Wacker Innsbruck,2,1,H,1.45,4.69,7.76
15/12/2012,Neustadt,SK Rapid,1,0,H,5.36,3.71,1.76
15/12/2012,Salzburg,Mattersburg,7,0,H,1.22,6.93,16.64
15/12/2012,Wacker Innsbruck,Admira,3,1,H,2.49,3.43,3.01
16/12/2012,Austria Vienna,Sturm Graz,3,1,H,1.67,3.9,5.82
16/02/2013,Ried,Wacker Innsbruck,3,0,H,1.58,4.12,6.65
16/02/2013,Admira,Neustadt,1,2,A,1.81,3.72,4.93
16/02/2013,Mattersburg,Sturm Graz,0,0,D,3.88,3.38,2.12
17/02/2013,SK Rapid,Austria Vienna,1,2,A,2.76,3.37,2.73
20/02/2013,Ried,Wolfsberger AC,1,1,D,1.55,4.33,6.77
23/02/2013,Wacker Innsbruck,Mattersburg,2,0,H,2.02,3.41,4.17
23/02/2013,Austria Vienna,Admira,4,0,H,1.4,5.37,7.86
23/02/2013,Neustadt,Ried,0,0,D,3.23,3.23,2.46
24/02/2013,Salzburg,SK Rapid,3,3,D,1.68,3.85,5.82
24/02/2013,Sturm Graz,Wolfsberger AC,1,3,A,1.72,3.96,5.2
27/02/2013,SK Rapid,Sturm Graz,1,1,D,1.73,3.75,5.38
27/02/2013,Ried,Austria Vienna,1,3,A,3.72,3.45,2.14
27/02/2013,Wacker Innsbruck,Neustadt,1,0,H,2.02,3.36,4.26
02/03/2013,Sturm Graz,Admira,1,2,A,1.73,3.86,5.3
02/03/2013,Austria Vienna,Wacker Innsbruck,4,0,H,1.33,5.65,10.4
02/03/2013,Mattersburg,Ried,1,0,H,3.14,3.2,2.52
02/03/2013,Salzburg,Neustadt,3,1,H,1.22,7.2,14.4
03/03/2013,Wolfsberger AC,SK Rapid,2,1,H,3.63,3.43,2.18
06/03/2013,Wolfsberger AC,Salzburg,1,1,D,5.27,3.85,1.74
09/03/2013,Neustadt,Austria Vienna,0,0,D,6.25,4.15,1.6
09/03/2013,Admira,Wolfsberger AC,0,1,A,2.02,3.5,4.07
09/03/2013,SK Rapid,Mattersburg,2,2,D,1.46,4.65,7.95
09/03/2013,Ried,Sturm Graz,1,2,A,2.25,3.24,3.64
10/03/2013,Wacker Innsbruck,Salzburg,2,3,A,5.82,3.92,1.67
13/03/2013,Wolfsberger AC,Mattersburg,1,0,H,1.98,3.78,3.92
13/03/2013,Admira,Salzburg,1,1,D,5.84,4.28,1.61
16/03/2013,SK Rapid,Admira,1,1,D,1.59,4.47,5.8
16/03/2013,Wolfsberger AC,Neustadt,1,1,D,2.02,3.59,3.98
16/03/2013,Salzburg,Ried,2,2,D,1.53,4.7,6.3
16/03/2013,Sturm Graz,Wacker Innsbruck,3,2,H,1.74,3.72,5.5
17/03/2013,Mattersburg,Austria Vienna,0,4,A,4.88,3.93,1.76
30/03/2013,Admira,Mattersburg,1,0,H,1.81,3.67,4.98
30/03/2013,Neustadt,Sturm Graz,1,0,H,3.15,3.24,2.5
30/03/2013,Ried,SK Rapid,3,2,H,2.91,3.29,2.64
30/03/2013,Wacker Innsbruck,Wolfsberger AC,2,3,A,2.19,3.48,3.55
31/03/2013,Austria Vienna,Salzburg,1,1,D,2.06,3.4,4.08
06/04/2013,Wacker Innsbruck,SK Rapid,1,1,D,3.23,3.32,2.41
06/04/2013,Austria Vienna,Wolfsberger AC,0,4,A,1.43,4.86,8.43
06/04/2013,Neustadt,Mattersburg,0,0,D,2.08,3.36,4.01
06/04/2013,Ried,Admira,4,1,H,1.91,3.63,4.42
07/04/2013,Salzburg,Sturm Graz,3,0,H,1.54,4.55,6.45
13/04/2013,Wolfsberger AC,Ried,1,3,A,2.2,3.56,3.43
13/04/2013,Admira,Wacker Innsbruck,4,3,H,1.96,3.54,4.29
13/04/2013,Mattersburg,Salzburg,1,2,A,5.64,4.38,1.61
13/04/2013,SK Rapid,Neustadt,2,0,H,1.57,4.28,6.37
14/04/2013,Sturm Graz,Austria Vienna,1,1,D,3.47,3.42,2.22
20/04/2013,Sturm Graz,Mattersburg,2,2,D,1.76,3.76,5.19
20/04/2013,Neustadt,Admira,3,0,H,2.99,3.25,2.61
20/04/2013,Salzburg,Wolfsberger AC,6,2,H,1.4,5.09,8.9
20/04/2013,Wacker Innsbruck,Ried,2,0,H,2.84,3.41,2.63
21/04/2013,Austria Vienna,SK Rapid,2,2,D,1.89,3.85,4.22
27/04/2013,Ried,Neustadt,2,1,H,1.77,3.96,4.82
27/04/2013,Wolfsberger AC,Sturm Graz,3,0,H,2.62,3.39,2.87
27/04/2013,Mattersburg,Wacker Innsbruck,1,2,A,2.29,3.4,3.37
