Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
22/07/2017,Lausanne,St. Gallen,3,3,D,2.17,3.55,3.54
22/07/2017,Young Boys,Basel,2,0,H,2.75,3.76,2.53
23/07/2017,Grasshoppers,Zurich,0,2,A,4.04,3.92,1.92
23/07/2017,Luzern,Lugano,1,0,H,2.03,3.79,3.73
23/07/2017,Thun,Sion,0,1,A,2.46,3.58,2.95
29/07/2017,Grasshoppers,Young Boys,0,4,A,3.44,3.74,2.14
30/07/2017,Basel,Luzern,3,1,H,1.4,5.32,8.13
30/07/2017,Lausanne,Sion,0,1,A,2.62,3.59,2.74
30/07/2017,Zurich,Thun,2,1,H,1.88,3.9,4.23
05/08/2017,Lugano,Zurich,0,0,D,3.57,3.72,2.1
05/08/2017,Thun,Basel,0,3,A,3.9,3.77,1.99
06/08/2017,Luzern,Grasshoppers,2,2,D,1.74,4.24,4.67
06/08/2017,St. Gallen,Sion,2,0,H,2.66,3.52,2.74
06/08/2017,Young Boys,Lausanne,3,0,H,1.33,5.86,9.62
09/08/2017,Lausanne,Lugano,2,3,A,2.55,3.48,2.89
09/08/2017,St. Gallen,Luzern,0,2,A,2.09,3.84,3.49
09/08/2017,Young Boys,Thun,0,4,A,1.64,4.47,5.25
10/08/2017,Basel,Grasshoppers,3,2,H,1.26,6.89,11.35
10/08/2017,Zurich,Sion,2,0,H,1.78,4.11,4.56
16/08/2017,Lugano,St. Gallen,0,1,A,2.01,3.79,3.79
19/08/2017,Thun,Lausanne,5,2,H,1.73,4.09,4.95
19/08/2017,Zurich,Young Boys,0,0,D,2.62,3.65,2.71
20/08/2017,Basel,Lugano,1,1,D,1.33,5.57,11
20/08/2017,Grasshoppers,St. Gallen,2,0,H,2.49,3.63,2.88
20/08/2017,Sion,Luzern,1,1,D,2.48,3.63,2.89
26/08/2017,Lausanne,Grasshoppers,1,1,D,2.54,3.56,2.86
26/08/2017,Lugano,Thun,4,1,H,2.25,3.66,3.25
27/08/2017,Luzern,Zurich,1,1,D,2.89,3.51,2.54
27/08/2017,Sion,Basel,1,1,D,5.38,4.12,1.68
27/08/2017,St. Gallen,Young Boys,2,2,D,3.95,3.78,1.97
