Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
22/07/2022,Salzburg,Austria Vienna,3,0,H,1.33,6.14,8.57
23/07/2022,LASK,A. Klagenfurt,3,1,H,1.47,4.78,6.95
23/07/2022,Wolfsberger AC,Sturm Graz,1,1,D,3.08,3.62,2.34
24/07/2022,A. Lustenau,Tirol,2,1,H,2.4,3.8,2.87
24/07/2022,Hartberg,Altach,2,1,H,2.16,3.57,3.5
24/07/2022,SK Rapid,Ried,1,0,H,1.83,3.6,4.86
30/07/2022,Altach,Wolfsberger AC,2,2,D,3.15,3.56,2.32
30/07/2022,Ried,A. Lustenau,1,0,H,1.99,3.67,3.95
30/07/2022,Sturm Graz,Salzburg,2,1,H,5.94,4.54,1.56
31/07/2022,A. Klagenfurt,SK Rapid,0,1,A,2.86,3.67,2.47
31/07/2022,Austria Vienna,LASK,1,1,D,2.73,3.54,2.64
31/07/2022,Tirol,Hartberg,2,1,H,2.17,3.94,3.19
06/08/2022,Ried,Sturm Graz,1,1,D,3.69,3.54,2.11
06/08/2022,Wolfsberger AC,LASK,1,5,A,2.66,3.68,2.64
06/08/2022,Hartberg,Salzburg,0,2,A,10.82,6.67,1.26
07/08/2022,Altach,Austria Vienna,3,2,H,4.54,3.72,1.85
07/08/2022,SK Rapid,A. Lustenau,1,1,D,1.4,5.44,7.45
07/08/2022,Tirol,A. Klagenfurt,2,2,D,1.97,4.05,3.63
13/08/2022,A. Klagenfurt,Ried,1,0,H,2.02,3.73,3.76
13/08/2022,Austria Vienna,Tirol,2,1,H,1.74,4.24,4.58
13/08/2022,Sturm Graz,Altach,4,0,H,1.46,4.84,7.04
14/08/2022,A. Lustenau,Hartberg,4,1,H,2.42,3.61,2.96
14/08/2022,LASK,SK Rapid,2,1,H,1.65,4.45,4.98
14/08/2022,Salzburg,Wolfsberger AC,2,1,H,1.24,7.06,11.58
20/08/2022,Altach,A. Lustenau,1,2,A,2.15,3.72,3.4
20/08/2022,Salzburg,A. Klagenfurt,2,0,H,1.23,7.11,12.39
20/08/2022,Sturm Graz,LASK,0,1,A,2.45,3.6,2.92
21/08/2022,Ried,Tirol,1,2,A,2.72,3.65,2.59
21/08/2022,Wolfsberger AC,Austria Vienna,1,2,A,2.44,3.48,3.03
27/08/2022,A. Lustenau,Salzburg,0,6,A,12.92,7.53,1.21
27/08/2022,Hartberg,Ried,2,0,H,2.35,3.53,3.13
27/08/2022,LASK,Altach,4,1,H,1.23,6.75,13.38
28/08/2022,A. Klagenfurt,Austria Vienna,3,3,D,2.84,3.54,2.55
28/08/2022,SK Rapid,Sturm Graz,1,2,A,2.94,3.56,2.46
28/08/2022,Tirol,Wolfsberger AC,1,3,A,2.43,3.64,2.93
03/09/2022,Austria Vienna,A. Lustenau,2,2,D,1.5,4.94,6.25
03/09/2022,Salzburg,Tirol,2,0,H,1.16,8.95,16.94
03/09/2022,Sturm Graz,Hartberg,0,0,D,1.4,5.29,7.83
04/09/2022,Altach,SK Rapid,0,1,A,4,3.87,1.92
04/09/2022,Wolfsberger AC,A. Klagenfurt,3,4,A,2.49,3.53,2.92
04/09/2022,LASK,Ried,1,1,D,1.36,5.52,8.78
10/09/2022,SK Rapid,Wolfsberger AC,1,3,A,2.03,3.65,3.83
10/09/2022,Ried,Salzburg,0,3,A,7.34,4.84,1.45
10/09/2022,Tirol,Altach,0,0,D,1.93,3.87,3.97
11/09/2022,A. Lustenau,LASK,1,1,D,6.77,4.85,1.47
11/09/2022,Hartberg,Austria Vienna,0,3,A,3.68,3.87,2
11/09/2022,A. Klagenfurt,Sturm Graz,0,2,A,3.6,3.77,2.06
17/09/2022,Altach,A. Klagenfurt,1,4,A,2.9,3.71,2.42
17/09/2022,LASK,Tirol,1,4,A,1.54,4.81,6.21
17/09/2022,Wolfsberger AC,Hartberg,3,1,H,1.76,4.17,4.48
18/09/2022,Austria Vienna,Ried,3,0,H,1.65,4.24,5.36
18/09/2022,Sturm Graz,A. Lustenau,2,0,H,1.39,5.32,8.02
18/09/2022,Salzburg,SK Rapid,1,1,D,1.47,4.95,6.62
01/10/2022,A. Lustenau,Wolfsberger AC,1,3,A,3.6,3.95,1.98
01/10/2022,Salzburg,LASK,1,1,D,1.52,4.75,6.02
01/10/2022,Tirol,SK Rapid,0,5,A,3.81,3.88,1.93
02/10/2022,Hartberg,A. Klagenfurt,2,3,A,3.63,3.91,2.01
02/10/2022,Ried,Altach,2,3,A,2.25,3.47,3.38
02/10/2022,Austria Vienna,Sturm Graz,0,3,A,3.01,3.63,2.38
08/10/2022,A. Klagenfurt,A. Lustenau,2,1,H,1.72,4.43,4.46
08/10/2022,Altach,Salzburg,2,3,A,7.41,5.09,1.43
08/10/2022,LASK,Hartberg,0,3,A,1.34,5.76,8.74
09/10/2022,Sturm Graz,Tirol,2,1,H,1.43,5.18,7.28
09/10/2022,Wolfsberger AC,Ried,1,2,A,1.69,4.31,4.8
09/10/2022,SK Rapid,Austria Vienna,1,2,A,2.4,3.63,2.99
15/10/2022,Tirol,A. Lustenau,3,2,H,2.33,3.71,3.04
15/10/2022,A. Klagenfurt,LASK,1,3,A,3.24,3.78,2.2
15/10/2022,Ried,SK Rapid,1,0,H,3.22,3.56,2.29
16/10/2022,Altach,Hartberg,1,0,H,2.26,3.7,3.16
16/10/2022,Sturm Graz,Wolfsberger AC,3,2,H,1.63,4.3,5.2
16/10/2022,Austria Vienna,Salzburg,1,3,A,5.57,4.43,1.6
22/10/2022,Hartberg,Tirol,1,5,A,2.44,3.74,2.86
22/10/2022,SK Rapid,A. Klagenfurt,0,1,A,1.81,4.13,4.25
22/10/2022,Salzburg,Sturm Graz,0,0,D,1.73,3.77,5.36
23/10/2022,A. Lustenau,Ried,0,0,D,2.54,3.69,2.76
23/10/2022,Wolfsberger AC,Altach,2,3,A,1.7,4.24,4.84
23/10/2022,LASK,Austria Vienna,2,2,D,2.02,3.88,3.62
26/10/2022,SK Rapid,Hartberg,5,1,H,1.46,4.87,6.99
29/10/2022,A. Klagenfurt,Tirol,2,3,A,2.07,3.86,3.5
29/10/2022,A. Lustenau,SK Rapid,3,3,D,4.59,4.27,1.73
29/10/2022,Salzburg,Hartberg,1,0,H,1.21,7.42,13.76
30/10/2022,Austria Vienna,Altach,2,1,H,1.66,4.4,4.95
30/10/2022,LASK,Wolfsberger AC,4,1,H,1.67,4.6,4.69
30/10/2022,Sturm Graz,Ried,2,1,H,1.32,5.62,10.38
05/11/2022,Hartberg,A. Lustenau,1,1,D,2.32,3.67,3.08
05/11/2022,Ried,A. Klagenfurt,2,2,D,2.99,3.62,2.4
05/11/2022,Wolfsberger AC,Salzburg,1,2,A,8.99,5.85,1.33
06/11/2022,Altach,Sturm Graz,1,1,D,7.08,4.58,1.49
06/11/2022,Tirol,Austria Vienna,0,0,D,2.78,3.91,2.42
06/11/2022,SK Rapid,LASK,1,0,H,2.48,3.82,2.76
12/11/2022,A. Lustenau,Altach,3,0,H,2.6,3.72,2.67
12/11/2022,Hartberg,SK Rapid,1,2,A,5.15,4.51,1.63
12/11/2022,Tirol,Ried,2,0,H,1.93,3.93,3.92
13/11/2022,A. Klagenfurt,Salzburg,0,1,A,7.6,5.72,1.38
13/11/2022,Austria Vienna,Wolfsberger AC,0,1,A,1.93,4.21,3.66
13/11/2022,LASK,Sturm Graz,1,1,D,3.28,3.6,2.25
10/02/2023,Sturm Graz,SK Rapid,1,0,H,2,3.58,4
11/02/2023,Salzburg,A. Lustenau,4,0,H,1.2,7.81,13.19
11/02/2023,Wolfsberger AC,Tirol,1,2,A,2.19,3.7,3.33
12/02/2023,Altach,LASK,0,1,A,5.97,4.55,1.55
12/02/2023,Ried,Hartberg,0,1,A,2.38,3.54,3.07
12/02/2023,Austria Vienna,A. Klagenfurt,3,1,H,2.08,3.73,3.58
18/02/2023,A. Klagenfurt,Wolfsberger AC,0,3,A,2.6,3.45,2.84
18/02/2023,Hartberg,Sturm Graz,1,2,A,5.39,4.32,1.63
18/02/2023,Ried,LASK,1,1,D,5.43,4.32,1.63
19/02/2023,A. Lustenau,Austria Vienna,1,0,H,4.19,3.73,1.91
19/02/2023,Tirol,Salzburg,1,3,A,6.52,4.68,1.51
19/02/2023,SK Rapid,Altach,3,0,H,1.44,4.98,7.2
24/02/2023,LASK,A. Lustenau,1,0,H,1.43,5.23,7.18
25/02/2023,Austria Vienna,Hartberg,3,0,H,1.63,4.13,5.76
25/02/2023,Sturm Graz,A. Klagenfurt,1,2,A,1.5,4.8,6.44
26/02/2023,Altach,Tirol,0,0,D,3.3,3.75,2.18
26/02/2023,Wolfsberger AC,SK Rapid,1,2,A,3.35,3.58,2.22
26/02/2023,Salzburg,Ried,2,0,H,1.21,7.14,15.07
04/03/2023,A. Lustenau,Sturm Graz,0,2,A,6.79,4.24,1.54
04/03/2023,Hartberg,Wolfsberger AC,2,1,H,3,3.69,2.38
04/03/2023,Ried,Austria Vienna,1,3,A,3.88,3.55,2.04
05/03/2023,A. Klagenfurt,Altach,3,0,H,1.96,3.81,3.88
05/03/2023,Tirol,LASK,2,3,A,3.98,3.87,1.93
05/03/2023,SK Rapid,Salzburg,2,4,A,4.18,3.55,1.97
12/03/2023,A. Klagenfurt,Hartberg,1,0,H,2.18,3.64,3.38
12/03/2023,Altach,Ried,1,2,A,2.42,3.42,3.1
12/03/2023,LASK,Salzburg,0,2,A,4.22,3.78,1.89
12/03/2023,SK Rapid,Tirol,2,0,H,1.61,4.43,5.47
12/03/2023,Sturm Graz,Austria Vienna,3,1,H,1.78,3.75,4.97
12/03/2023,Wolfsberger AC,A. Lustenau,0,1,A,1.69,4.11,5.07
19/03/2023,A. Lustenau,A. Klagenfurt,4,2,H,3.37,3.66,2.18
19/03/2023,Austria Vienna,SK Rapid,2,0,H,3.32,3.44,2.29
19/03/2023,Hartberg,LASK,2,2,D,4.13,3.73,1.93
19/03/2023,Ried,Wolfsberger AC,0,0,D,2.75,3.65,2.56
19/03/2023,Salzburg,Altach,1,1,D,1.16,8.35,18.09
19/03/2023,Tirol,Sturm Graz,0,2,A,6.63,4.72,1.5
31/03/2023,Hartberg,A. Lustenau,0,1,A,2.15,3.5,3.59
01/04/2023,Altach,Tirol,1,0,H,3.13,3.46,2.39
01/04/2023,Wolfsberger AC,Ried,1,0,H,1.9,3.77,4.22
02/04/2023,A. Klagenfurt,Salzburg,0,3,A,12.59,6.53,1.24
02/04/2023,Austria Vienna,LASK,2,2,D,2.66,3.45,2.76
02/04/2023,Sturm Graz,SK Rapid,3,1,H,1.81,3.83,4.66
07/04/2023,Tirol,Wolfsberger AC,4,0,H,2.81,3.73,2.48
08/04/2023,A. Lustenau,Altach,1,0,H,2.57,3.43,2.88
08/04/2023,Ried,Hartberg,1,3,A,2.4,3.28,3.26
09/04/2023,SK Rapid,A. Klagenfurt,3,1,H,1.49,4.72,6.76
09/04/2023,Salzburg,Austria Vienna,3,3,D,1.35,5.47,9.12
09/04/2023,LASK,Sturm Graz,2,1,H,2.86,3.61,2.5
14/04/2023,Ried,Tirol,1,1,D,2.71,3.58,2.63
15/04/2023,A. Lustenau,Wolfsberger AC,1,3,A,2.81,3.42,2.64
15/04/2023,Hartberg,Altach,2,2,D,2.07,3.48,3.89
16/04/2023,A. Klagenfurt,Sturm Graz,0,2,A,7.24,4.96,1.44
16/04/2023,Salzburg,LASK,0,0,D,1.49,4.91,6.41
16/04/2023,SK Rapid,Austria Vienna,3,3,D,2.13,3.75,3.45
21/04/2023,Wolfsberger AC,Hartberg,2,2,D,2.45,3.53,2.98
22/04/2023,Altach,Ried,1,1,D,2.65,3.35,2.85
22/04/2023,Tirol,A. Lustenau,0,2,A,1.88,3.93,4.14
23/04/2023,Austria Vienna,A. Klagenfurt,1,2,A,1.59,4.41,5.69
23/04/2023,LASK,SK Rapid,3,1,H,2.15,3.64,3.47
23/04/2023,Sturm Graz,Salzburg,0,2,A,2.57,3.5,2.83
26/04/2023,Sturm Graz,Austria Vienna,3,2,H,1.63,4.32,5.36
26/04/2023,SK Rapid,Salzburg,1,1,D,4.24,3.93,1.85
28/04/2023,Altach,Wolfsberger AC,0,2,A,3.06,3.37,2.48
29/04/2023,Ried,A. Lustenau,4,4,D,2.29,3.45,3.31
29/04/2023,Tirol,Hartberg,1,1,D,2.32,3.82,2.99
30/04/2023,LASK,A. Klagenfurt,4,0,H,1.47,4.94,6.67
05/05/2023,Wolfsberger AC,Altach,0,0,D,2.05,3.48,3.93
06/05/2023,A. Lustenau,Ried,2,2,D,2.38,3.49,3.12
06/05/2023,Hartberg,Tirol,5,0,H,2.11,3.83,3.4
07/05/2023,A. Klagenfurt,LASK,1,1,D,6.2,4.55,1.54
07/05/2023,Austria Vienna,Sturm Graz,1,2,A,4.01,4.07,1.87
07/05/2023,Salzburg,SK Rapid,2,1,H,1.47,4.86,6.84
12/05/2023,Tirol,Ried,1,1,D,2.29,3.67,3.13
13/05/2023,Altach,Hartberg,0,1,A,3.82,3.68,2.02
13/05/2023,Wolfsberger AC,A. Lustenau,2,2,D,1.96,3.82,3.9
14/05/2023,LASK,Salzburg,0,1,A,3.75,3.85,1.99
14/05/2023,Sturm Graz,A. Klagenfurt,4,1,H,1.23,6.79,12.68
14/05/2023,Austria Vienna,SK Rapid,3,1,H,2.57,3.77,2.68
19/05/2023,Ried,Altach,0,1,A,1.92,3.67,4.23
