Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
04/04/2015,Hammarby,Hacken,2,0,H,2.45,3.57,2.97
04/04/2015,Kalmar,Helsingborg,0,0,D,2.08,3.52,3.84
05/04/2015,Falkenbergs,Gefle,0,2,A,2.04,3.53,3.95
05/04/2015,Goteborg,Atvidabergs,1,0,H,1.37,4.89,10.79
05/04/2015,Djurgarden,Elfsborg,1,2,A,2.78,3.26,2.79
05/04/2015,Norrkoping,Orebro,1,1,D,2.4,3.51,3.1
06/04/2015,AIK,Halmstad,2,1,H,1.56,4.21,6.77
06/04/2015,Sundsvall,Malmo FF,1,4,A,6.22,4.06,1.63
08/04/2015,Gefle,Kalmar,2,0,H,3.03,3.28,2.56
08/04/2015,Helsingborg,Falkenbergs,0,0,D,1.7,3.95,5.39
08/04/2015,Orebro,Goteborg,0,2,A,3.6,3.43,2.18
08/04/2015,Elfsborg,Hammarby,1,1,D,1.58,4.14,6.56
09/04/2015,Atvidabergs,Sundsvall,2,3,A,1.89,3.63,4.52
09/04/2015,Hacken,Djurgarden,1,1,D,1.99,3.56,4.13
09/04/2015,Halmstad,Norrkoping,0,3,A,2.51,3.5,2.94
09/04/2015,Malmo FF,AIK,0,0,D,1.68,4.13,5.37
12/04/2015,Falkenbergs,Orebro,2,0,H,3.03,3.43,2.45
12/04/2015,Halmstad,Helsingborg,1,2,A,2.81,3.28,2.71
12/04/2015,AIK,Gefle,3,1,H,1.43,4.81,8.57
12/04/2015,Goteborg,Malmo FF,0,1,A,2.44,3.44,3.08
13/04/2015,Kalmar,Atvidabergs,2,1,H,1.95,3.49,4.44
13/04/2015,Norrkoping,Elfsborg,0,4,A,3.11,3.5,2.39
13/04/2015,Sundsvall,Hacken,1,1,D,3.35,3.67,2.2
13/04/2015,Hammarby,Djurgarden,2,1,H,2.73,3.36,2.79
17/04/2015,Djurgarden,Kalmar,1,0,H,1.98,3.54,4.2
18/04/2015,Gefle,Halmstad,0,0,D,2.19,3.39,3.65
19/04/2015,Atvidabergs,Falkenbergs,3,1,H,2.05,3.47,4.05
19/04/2015,Hacken,Goteborg,1,2,A,3.7,3.56,2.13
20/04/2015,Helsingborg,Norrkoping,3,1,H,2.15,3.46,3.69
20/04/2015,Orebro,Sundsvall,1,3,A,1.59,4.27,6.16
20/04/2015,Malmo FF,Hammarby,3,1,H,1.43,4.74,8.81
21/04/2015,Elfsborg,AIK,3,2,H,1.88,3.65,4.57
24/04/2015,Falkenbergs,Malmo FF,3,3,D,6.86,4.56,1.52
25/04/2015,Hammarby,Atvidabergs,2,1,H,1.55,4.3,6.87
26/04/2015,Halmstad,Elfsborg,1,0,H,4.97,4.04,1.74
26/04/2015,Sundsvall,Djurgarden,0,2,A,3.11,3.48,2.4
26/04/2015,AIK,Orebro,3,0,H,1.63,4.04,6.13
26/04/2015,Kalmar,Hacken,0,1,A,2.61,3.38,2.89
27/04/2015,Norrkoping,Gefle,4,1,H,1.71,3.92,5.42
27/04/2015,Goteborg,Helsingborg,3,1,H,1.5,4.46,7.41
29/04/2015,Djurgarden,Falkenbergs,3,1,H,1.42,4.76,8.9
29/04/2015,Elfsborg,Kalmar,2,1,H,1.53,4.3,7.14
29/04/2015,Malmo FF,Halmstad,3,1,H,1.23,7.05,15.01
29/04/2015,Atvidabergs,AIK,1,1,D,4.49,3.74,1.87
30/04/2015,Hacken,Norrkoping,0,2,A,1.69,4.04,5.34
30/04/2015,Gefle,Goteborg,0,0,D,4.93,3.76,1.8
30/04/2015,Helsingborg,Sundsvall,2,0,H,1.66,4.2,5.43
30/04/2015,Orebro,Hammarby,2,2,D,2.38,3.59,3.06
03/05/2015,Norrkoping,Atvidabergs,2,1,H,1.71,4.06,5.16
03/05/2015,Sundsvall,Elfsborg,0,1,A,5.35,4.08,1.68
03/05/2015,Djurgarden,Gefle,5,1,H,1.5,4.61,7.22
03/05/2015,Malmo FF,Helsingborg,3,1,H,1.38,5.2,9.07
04/05/2015,Goteborg,Falkenbergs,2,1,H,1.3,5.88,11.75
04/05/2015,Halmstad,Hacken,0,2,A,3.31,3.52,2.28
04/05/2015,Kalmar,Orebro,3,0,H,2.13,3.49,3.7
04/05/2015,AIK,Hammarby,2,0,H,1.7,4,5.3
08/05/2015,Kalmar,Goteborg,0,2,A,3.8,3.34,2.16
09/05/2015,Helsingborg,Gefle,1,2,A,1.65,3.86,6.31
10/05/2015,Falkenbergs,Halmstad,1,0,H,2.35,3.44,3.24
10/05/2015,AIK,Norrkoping,2,2,D,1.7,4.07,5.23
10/05/2015,Hacken,Orebro,2,0,H,1.63,4.24,5.69
11/05/2015,Atvidabergs,Djurgarden,2,3,A,3.78,3.59,2.06
11/05/2015,Hammarby,Sundsvall,1,2,A,1.64,4.33,5.48
11/05/2015,Elfsborg,Malmo FF,2,2,D,2.67,3.5,2.73
18/05/2015,Halmstad,Djurgarden,2,3,A,3.52,3.63,2.16
19/05/2015,Falkenbergs,Kalmar,1,3,A,3.03,3.32,2.54
20/05/2015,Elfsborg,Helsingborg,2,1,H,1.55,4.35,6.72
20/05/2015,Norrkoping,Hammarby,1,0,H,2,3.7,3.9
20/05/2015,Orebro,Atvidabergs,2,1,H,1.74,4.02,4.99
20/05/2015,Gefle,Sundsvall,3,1,H,2.63,3.39,2.87
21/05/2015,Malmo FF,Hacken,0,3,A,1.44,4.96,7.83
21/05/2015,Goteborg,AIK,3,0,H,1.83,3.68,4.83
24/05/2015,Halmstad,Goteborg,1,2,A,6.04,4.19,1.61
24/05/2015,Orebro,Gefle,1,0,H,1.79,3.88,4.75
24/05/2015,Atvidabergs,Elfsborg,1,2,A,5.62,4.08,1.66
24/05/2015,Kalmar,Malmo FF,2,1,H,4.87,3.81,1.79
25/05/2015,Hacken,Falkenbergs,0,2,A,1.42,4.98,8.38
25/05/2015,Helsingborg,Hammarby,1,0,H,2.49,3.38,3.06
25/05/2015,Sundsvall,Norrkoping,0,1,A,2.21,3.66,3.33
25/05/2015,Djurgarden,AIK,2,2,D,2.32,3.47,3.27
29/05/2015,Gefle,Hacken,2,0,H,3.6,3.55,2.14
