Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
07/10/2018,Midtjylland,Vendsyssel,3,0,H,1.27,6.28,10.12
19/10/2018,Esbjerg,Hobro,2,0,H,1.94,3.55,4.2
20/10/2018,Nordsjaelland,Midtjylland,1,4,A,3.45,3.77,2.1
21/10/2018,Vendsyssel,Horsens,0,1,A,2.74,3.22,2.82
21/10/2018,Randers FC,Sonderjyske,1,1,D,2.44,3.29,3.15
21/10/2018,Vejle,FC Copenhagen,1,3,A,6.99,4.38,1.5
21/10/2018,Aarhus,Aalborg,2,2,D,2.44,3.39,3.07
22/10/2018,Brondby,Odense,1,1,D,1.83,4.03,4.19
26/10/2018,Sonderjyske,Odense,0,0,D,3.15,3.51,2.33
27/10/2018,Horsens,Nordsjaelland,3,3,D,3.16,3.54,2.31
28/10/2018,Hobro,Vejle,1,0,H,2.9,3.31,2.61
28/10/2018,Randers FC,Esbjerg,0,2,A,2.15,3.37,3.7
28/10/2018,FC Copenhagen,Aarhus,4,2,H,1.47,4.16,8.37
28/10/2018,Aalborg,Vendsyssel,0,1,A,1.68,3.83,5.55
29/10/2018,Midtjylland,Brondby,3,2,H,1.98,3.75,3.84
02/11/2018,Odense,Hobro,1,0,H,1.45,4.5,7.76
02/11/2018,Vendsyssel,Sonderjyske,2,3,A,3.48,3.37,2.24
04/11/2018,Brondby,FC Copenhagen,0,1,A,2.61,3.68,2.66
04/11/2018,Nordsjaelland,Aalborg,1,1,D,2.02,3.8,3.65
04/11/2018,Aarhus,Randers FC,0,2,A,2.24,3.32,3.53
04/11/2018,Esbjerg,Midtjylland,2,2,D,5.17,3.89,1.7
05/11/2018,Vejle,Horsens,3,1,H,2.91,3,2.83
09/11/2018,Brondby,Aarhus,2,0,H,1.52,4.75,5.85
10/11/2018,Horsens,Sonderjyske,1,1,D,2.77,3.22,2.79
11/11/2018,Hobro,Vendsyssel,1,0,H,2.52,3.42,2.93
11/11/2018,Randers FC,Nordsjaelland,1,1,D,2.82,3.43,2.6
11/11/2018,Aalborg,FC Copenhagen,1,1,D,3.79,3.35,2.13
11/11/2018,Midtjylland,Vejle,5,0,H,1.33,5.1,10.54
11/11/2018,Odense,Esbjerg,2,1,H,1.75,3.58,5.46
23/11/2018,Vejle,Aalborg,1,1,D,3.87,3.69,1.98
24/11/2018,Hobro,Randers FC,0,1,A,3.65,3.27,2.21
25/11/2018,Vendsyssel,Esbjerg,1,1,D,3.03,3.31,2.51
25/11/2018,Nordsjaelland,Odense,1,3,A,2.76,3.68,2.52
25/11/2018,Sonderjyske,Brondby,0,2,A,3.75,3.84,1.97
25/11/2018,FC Copenhagen,Midtjylland,2,1,H,2.45,3.38,3.05
26/11/2018,Aarhus,Horsens,1,2,A,2.03,3.66,3.75
30/11/2018,Esbjerg,Aalborg,1,4,A,3.34,3.42,2.27
01/12/2018,Odense,Vendsyssel,2,0,H,1.43,4.61,7.92
02/12/2018,Sonderjyske,Nordsjaelland,1,2,A,2.45,3.75,2.81
02/12/2018,Randers FC,Midtjylland,1,2,A,5.07,3.84,1.73
02/12/2018,Horsens,FC Copenhagen,1,6,A,5.73,4.08,1.62
02/12/2018,Brondby,Hobro,1,0,H,1.25,6.01,12.75
03/12/2018,Aarhus,Vejle,2,1,H,1.99,3.34,4.34
07/12/2018,Midtjylland,Odense,3,0,H,1.88,3.55,4.54
08/12/2018,Hobro,Sonderjyske,0,0,D,3.13,3.3,2.44
09/12/2018,Vendsyssel,Randers FC,0,1,A,3.66,3.5,2.11
09/12/2018,Aalborg,Horsens,2,4,A,1.63,4.13,5.45
09/12/2018,FC Copenhagen,Esbjerg,3,0,H,1.33,5.19,10.03
09/12/2018,Vejle,Brondby,1,2,A,5.3,4.07,1.66
10/12/2018,Nordsjaelland,Aarhus,1,0,H,1.69,4.37,4.65
14/12/2018,Odense,Aalborg,1,2,A,1.82,3.8,4.51
15/12/2018,Randers FC,Vejle,2,0,H,1.91,3.41,4.61
16/12/2018,Esbjerg,Nordsjaelland,3,0,H,3.37,3.54,2.21
16/12/2018,Horsens,Midtjylland,1,3,A,6.72,5,1.45
16/12/2018,Sonderjyske,FC Copenhagen,0,3,A,5.08,4.18,1.66
16/12/2018,Brondby,Vendsyssel,2,3,A,1.3,5.53,11.04
17/12/2018,Aarhus,Hobro,1,0,H,1.92,3.35,4.69
08/02/2019,Aarhus,Esbjerg,2,0,H,2.31,3.21,3.48
09/02/2019,Vejle,Sonderjyske,2,0,H,2.9,3.19,2.69
10/02/2019,Hobro,Horsens,0,0,D,2.53,3.2,3.11
10/02/2019,Aalborg,Randers FC,0,3,A,2.37,3.22,3.34
10/02/2019,Nordsjaelland,Brondby,3,3,D,2.62,3.65,2.67
10/02/2019,FC Copenhagen,Odense,6,1,H,1.83,3.51,4.94
11/02/2019,Vendsyssel,Midtjylland,0,1,A,6.87,4.82,1.45
15/02/2019,Sonderjyske,Aarhus,0,2,A,2.7,3.22,2.86
16/02/2019,Nordsjaelland,Hobro,2,1,H,1.46,4.91,6.53
17/02/2019,Horsens,Vendsyssel,3,0,H,2.18,3.32,3.67
17/02/2019,Odense,Vejle,1,0,H,1.83,3.47,4.98
17/02/2019,Randers FC,FC Copenhagen,0,2,A,4.17,3.39,2.01
17/02/2019,Esbjerg,Brondby,2,1,H,3.74,3.5,2.09
18/02/2019,Midtjylland,Aalborg,2,1,H,1.36,5.38,8.11
22/02/2019,Aalborg,Sonderjyske,3,0,H,1.97,3.63,3.99
23/02/2019,Vejle,Nordsjaelland,1,3,A,4.18,3.93,1.85
24/02/2019,Hobro,Esbjerg,2,0,H,2.65,3.11,3.01
24/02/2019,Horsens,Odense,1,2,A,3.86,3.45,2.07
24/02/2019,Aarhus,Midtjylland,1,2,A,5.31,3.85,1.7
24/02/2019,Brondby,Randers FC,2,1,H,1.93,3.8,3.95
25/02/2019,FC Copenhagen,Vendsyssel,1,1,D,1.19,7.01,16.91
01/03/2019,Aalborg,Hobro,1,1,D,1.79,3.52,5.23
02/03/2019,Esbjerg,Horsens,1,0,H,2.46,3.17,3.25
03/03/2019,Sonderjyske,Randers FC,3,0,H,3.1,3.22,2.52
03/03/2019,Vendsyssel,Aarhus,2,2,D,2.86,3.19,2.72
03/03/2019,FC Copenhagen,Vejle,2,0,H,1.22,7.25,11.76
03/03/2019,Odense,Brondby,2,0,H,2.55,3.34,2.95
04/03/2019,Midtjylland,Nordsjaelland,3,3,D,1.52,4.47,6.35
08/03/2019,Hobro,Midtjylland,1,2,A,9.36,5.05,1.36
09/03/2019,Vejle,Vendsyssel,1,1,D,2.13,3.41,3.7
