Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
05/07/2020,Astra,CFR Cluj,2,2,D,6.65,4.31,1.52
06/07/2020,Chindia Targoviste,FC Hermannstadt,0,1,A,3.35,3.05,2.42
06/07/2020,FC Voluntari,Viitorul Constanta,0,0,D,3.21,3.62,2.21
10/07/2020,FC Botosani,Astra,0,0,D,2.15,3.31,3.66
11/07/2020,Viitorul Constanta,Academica Clinceni,5,0,H,1.31,5.26,8.64
11/07/2020,FC Hermannstadt,FC Voluntari,2,1,H,2.47,3.05,3.26
12/07/2020,Din. Bucuresti,Poli Iasi,1,1,D,2.09,3.45,3.7
12/07/2020,U Craiova,FCSB,2,1,H,1.83,4.03,4.07
13/07/2020,Sepsi Sf. Gheorghe,Chindia Targoviste,2,0,H,1.62,3.83,6.19
13/07/2020,CFR Cluj,Gaz Metan Medias,2,0,H,1.18,6.73,14.45
17/07/2020,Academica Clinceni,FC Voluntari,2,1,H,3.49,3.2,2.27
17/07/2020,Gaz Metan Medias,Astra,0,4,A,4.37,3.71,1.85
18/07/2020,FC Hermannstadt,Sepsi Sf. Gheorghe,2,2,D,3.14,2.93,2.63
19/07/2020,FC Botosani,U Craiova,0,2,A,3.57,3.76,2.03
20/07/2020,Poli Iasi,Viitorul Constanta,1,1,D,3.79,3.64,2
25/07/2020,Viitorul Constanta,Chindia Targoviste,4,1,H,1.41,4.78,8.02
25/07/2020,Gaz Metan Medias,FCSB,0,1,A,3.51,3.32,2.21
26/07/2020,Academica Clinceni,Poli Iasi,3,0,H,3.47,3.04,2.37
26/07/2020,FC Voluntari,Sepsi Sf. Gheorghe,2,0,H,2.93,2.81,2.93
28/07/2020,CFR Cluj,FC Botosani,1,0,H,1.39,4.71,9.19
29/07/2020,Chindia Targoviste,Academica Clinceni,3,1,H,2.63,3.2,2.88
29/07/2020,FC Hermannstadt,Viitorul Constanta,2,0,H,3.36,3.31,2.27
30/07/2020,Poli Iasi,FC Voluntari,2,1,H,3.13,3.28,2.3
31/07/2020,FCSB,CFR Cluj,0,2,A,7.47,3.77,1.56
01/08/2020,Academica Clinceni,FC Hermannstadt,0,2,A,3.7,3.12,2.23
01/08/2020,Viitorul Constanta,Sepsi Sf. Gheorghe,0,3,A,1.76,3.72,4.96
01/08/2020,FC Botosani,Gaz Metan Medias,4,1,H,1.49,4.19,7.49
02/08/2020,Poli Iasi,Chindia Targoviste,1,0,H,1.94,3.36,4.44
02/08/2020,FC Voluntari,Din. Bucuresti,1,2,A,1.74,3.75,5
03/08/2020,U Craiova,CFR Cluj,1,3,A,3.05,3,2.64
05/08/2020,Chindia Targoviste,FC Voluntari,2,0,H,4.26,3.5,1.93
05/08/2020,Din. Bucuresti,Viitorul Constanta,1,1,D,2.38,3.4,3.07
05/08/2020,FC Hermannstadt,Poli Iasi,2,2,D,2.72,3.09,2.87
05/08/2020,Sepsi Sf. Gheorghe,Academica Clinceni,1,0,H,1.28,5.56,12.13
09/08/2020,Chindia Targoviste,Mioveni,2,0,H,,,
12/08/2020,Mioveni,Chindia Targoviste,1,1,D,3.02,3.23,2.51
