Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
01/04/2023,Malmo FF,Kalmar,1,0,H,1.63,4.11,5.76
01/04/2023,Djurgarden,Brommapojkarna,3,1,H,1.32,5.91,9.28
02/04/2023,Hammarby,Degerfors,3,1,H,1.31,6.01,9.69
02/04/2023,Norrkoping,Sirius,1,1,D,1.93,3.71,4.14
02/04/2023,Goteborg,Varnamo,0,1,A,2.04,3.61,3.82
02/04/2023,Halmstad,AIK,2,1,H,3.26,3.19,2.46
03/04/2023,Mjallby,Varberg,2,2,D,1.68,3.67,6.04
03/04/2023,Elfsborg,Hacken,0,2,A,2.43,3.8,2.83
08/04/2023,Brommapojkarna,Malmo FF,1,2,A,7.44,4.79,1.47
08/04/2023,Degerfors,Halmstad,3,1,H,2.59,3.53,2.83
09/04/2023,Hacken,Hammarby,3,1,H,2.02,3.79,3.68
09/04/2023,Kalmar,Goteborg,2,0,H,2.05,3.38,4.03
09/04/2023,Sirius,Djurgarden,0,0,D,3.73,3.62,2.05
10/04/2023,Varnamo,Mjallby,0,1,A,2.94,3.25,2.63
10/04/2023,AIK,Norrkoping,0,3,A,1.72,3.81,5.11
10/04/2023,Varberg,Elfsborg,0,0,D,4.96,3.86,1.72
15/04/2023,Elfsborg,Brommapojkarna,5,0,H,1.38,5.62,7.77
15/04/2023,Hacken,Kalmar,1,3,A,1.67,4.15,5.3
16/04/2023,AIK,Hammarby,2,0,H,2.99,3.16,2.65
16/04/2023,Norrkoping,Varnamo,2,1,H,1.72,3.96,5.04
16/04/2023,Halmstad,Djurgarden,2,0,H,3.79,3.4,2.13
16/04/2023,Mjallby,Degerfors,2,0,H,1.83,3.73,4.65
17/04/2023,Varberg,Sirius,1,1,D,3.58,3.37,2.21
17/04/2023,Goteborg,Malmo FF,0,1,A,4.67,3.94,1.78
22/04/2023,Hammarby,Varberg,2,0,H,1.3,5.87,10.94
22/04/2023,Degerfors,Elfsborg,1,2,A,3.68,3.76,2.04
23/04/2023,Djurgarden,Goteborg,1,0,H,1.53,4.4,6.6
23/04/2023,Kalmar,Halmstad,2,0,H,1.79,3.48,5.42
23/04/2023,Sirius,Hacken,1,4,A,3.74,3.86,1.99
24/04/2023,Brommapojkarna,Mjallby,2,0,H,3.16,3.34,2.43
24/04/2023,Varnamo,AIK,1,0,H,4.16,3.37,2.03
24/04/2023,Malmo FF,Norrkoping,3,0,H,1.47,4.71,7.11
29/04/2023,AIK,Sirius,0,0,D,1.99,3.57,4.04
29/04/2023,Mjallby,Elfsborg,0,1,A,3.51,3.45,2.21
29/04/2023,Hacken,Varnamo,3,1,H,1.3,5.71,10.38
29/04/2023,Halmstad,Brommapojkarna,0,2,A,2.15,3.5,3.6
30/04/2023,Malmo FF,Hammarby,4,2,H,1.78,3.71,5.07
