Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
18/05/2018,Bohemians,Dundalk,0,2,A,6.42,4.06,1.58
18/05/2018,Cork City,Bray,4,0,H,1.2,7.45,15.16
18/05/2018,St. Patricks,Derry City,5,2,H,1.95,3.85,3.82
18/05/2018,Waterford,Limerick,3,6,A,1.5,4.17,7.96
19/05/2018,Sligo Rovers,Shamrock Rovers,0,0,D,4.6,3.28,1.96
21/05/2018,Derry City,Bray,2,0,H,1.28,6.11,11.07
21/05/2018,Dundalk,Waterford,2,0,H,1.36,5.28,9.13
21/05/2018,Limerick,Cork City,0,2,A,8.66,4.71,1.42
22/05/2018,Shamrock Rovers,St. Patricks,3,0,H,2.15,3.44,3.61
25/05/2018,Bohemians,Shamrock Rovers,1,1,D,3.75,3.43,2.1
25/05/2018,Dundalk,Bray,5,0,H,1.12,10.19,25.38
25/05/2018,Sligo Rovers,Limerick,0,0,D,2.17,3.32,3.69
25/05/2018,St. Patricks,Cork City,1,3,A,3.66,3.46,2.12
25/05/2018,Waterford,Derry City,4,0,H,2.2,3.74,3.22
01/06/2018,Bray,St. Patricks,3,1,H,8.45,4.93,1.4
01/06/2018,Cork City,Waterford,3,0,H,1.63,3.92,6.12
01/06/2018,Derry City,Sligo Rovers,0,2,A,1.61,3.85,6.5
01/06/2018,Limerick,Bohemians,1,1,D,4.23,3.28,2.03
01/06/2018,Shamrock Rovers,Dundalk,2,5,A,4.42,3.43,1.94
04/06/2018,Cork City,Derry City,4,2,H,1.33,5.57,10.06
08/06/2018,Bohemians,Derry City,1,2,A,2.28,3.49,3.26
08/06/2018,Dundalk,Limerick,4,0,H,1.11,10.5,27.45
08/06/2018,Waterford,St. Patricks,2,0,H,2.4,3.41,3.09
09/06/2018,Shamrock Rovers,Bray,5,0,H,1.34,5.21,10.62
09/06/2018,Sligo Rovers,Cork City,0,2,A,7.28,3.64,1.61
15/06/2018,Bray,Waterford,0,0,D,6.37,4.12,1.58
15/06/2018,Cork City,Bohemians,1,0,H,1.36,4.81,10.81
15/06/2018,Derry City,Dundalk,0,4,A,9.2,5.5,1.35
15/06/2018,Limerick,Shamrock Rovers,0,2,A,6.78,4.24,1.54
15/06/2018,St. Patricks,Sligo Rovers,0,3,A,1.75,3.71,5.25
29/06/2018,Dundalk,Cork City,2,1,H,1.7,3.92,5.26
29/06/2018,Bohemians,St. Patricks,1,0,H,2.91,3.32,2.57
29/06/2018,Limerick,Bray,2,1,H,2.55,3.22,3.03
