Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
25/07/2026,Lausanne,Grasshoppers,1,1,D,,,
25/07/2026,Servette,Basel,0,1,A,,,
25/07/2026,Luzern,Thun,1,3,A,,,
26/07/2026,Young Boys,Sion,4,2,H,,,
26/07/2026,Lugano,Vaduz,2,1,H,,,
26/07/2026,St. Gallen,Zurich,2,1,H,,,
01/08/2026,Basel,Lausanne,0,1,A,,,
01/08/2026,Zurich,Servette,2,1,H,,,
01/08/2026,Thun,Young Boys,0,6,A,,,
02/08/2026,Vaduz,St. Gallen,2,3,A,,,
02/08/2026,Grasshoppers,Lugano,1,4,A,,,
02/08/2026,Sion,Luzern,3,0,H,,,
08/08/2026,Lausanne,Young Boys,2,2,D,,,
08/08/2026,Servette,Grasshoppers,2,1,H,,,
09/08/2026,Lugano,Zurich,5,0,H,,,
09/08/2026,Basel,Thun,4,2,H,,,
09/08/2026,Sion,Vaduz,3,2,H,,,
09/08/2026,St. Gallen,Luzern,2,2,D,,,
22/08/2026,Luzern,Lausanne,1,0,H,,,
22/08/2026,Zurich,Basel,1,2,A,,,
23/08/2026,Young Boys,Vaduz,4,2,H,,,
29/08/2026,Lausanne,Zurich,2,3,A,,,
29/08/2026,Servette,Luzern,1,1,D,,,
29/08/2026,Young Boys,Basel,3,3,D,,,
30/08/2026,Sion,Lugano,1,2,A,,,
30/08/2026,St. Gallen,Thun,3,4,A,,,
30/08/2026,Vaduz,Grasshoppers,5,2,H,,,
01/09/2026,Zurich,Young Boys,2,4,A,,,
02/09/2026,Grasshoppers,St. Gallen,2,0,H,,,
02/09/2026,Luzern,Vaduz,2,1,H,,,
02/09/2026,Thun,Lausanne,0,0,D,,,
03/09/2026,Basel,Sion,1,2,A,,,
03/09/2026,Lugano,Servette,1,0,H,,,
05/09/2026,Vaduz,Lausanne,3,1,H,,,
05/09/2026,Young Boys,Luzern,3,3,D,,,
05/09/2026,Grasshoppers,Zurich,2,2,D,,,
06/09/2026,Servette,St. Gallen,0,2,A,,,
06/09/2026,Basel,Lugano,1,3,A,,,
06/09/2026,Sion,Thun,3,2,H,,,
