Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
26/05/2024,Hammarby,Sirius,3,0,H,2.21,3.66,3.24
26/05/2024,Vasteras SK,Brommapojkarna,1,1,D,2.16,3.71,3.32
27/05/2024,Norrkoping,Varnamo,0,4,A,2.1,3.67,3.51
27/05/2024,AIK,Goteborg,5,2,H,2.03,3.61,3.77
28/05/2024,Malmo FF,Elfsborg,2,1,H,1.44,4.78,7.53
29/05/2024,Mjallby,Hacken,2,1,H,2.48,3.53,2.89
01/06/2024,Brommapojkarna,Malmo FF,2,2,D,5.58,4.64,1.56
01/06/2024,Goteborg,Elfsborg,1,0,H,2.8,3.58,2.52
01/06/2024,Halmstad,GAIS,4,0,H,4,3.51,2
01/06/2024,Sirius,Norrkoping,5,1,H,1.86,3.99,4.02
02/06/2024,Djurgarden,Hammarby,0,3,A,1.74,3.96,4.79
02/06/2024,Kalmar,Vasteras SK,0,4,A,2.8,3.4,2.62
02/06/2024,Hacken,AIK,4,1,H,1.93,4.08,3.66
02/06/2024,Varnamo,Mjallby,1,2,A,2.71,3.25,2.81
06/07/2024,Elfsborg,Brommapojkarna,3,0,H,1.78,4.22,4.23
06/07/2024,Mjallby,Sirius,3,2,H,2.01,3.58,3.88
07/07/2024,AIK,Kalmar,1,2,A,1.45,4.76,7.14
07/07/2024,Varnamo,Goteborg,2,0,H,2.56,3.47,2.82
07/07/2024,GAIS,Hammarby,0,0,D,2.22,3.55,3.29
07/07/2024,Malmo FF,Halmstad,5,1,H,1.17,8.6,14.91
08/07/2024,Norrkoping,Djurgarden,1,3,A,4.8,3.88,1.75
08/07/2024,Vasteras SK,Hacken,1,2,A,3.01,3.95,2.23
13/07/2024,Mjallby,Malmo FF,2,1,H,4.84,4.06,1.71
13/07/2024,Sirius,GAIS,3,1,H,2.17,3.72,3.28
14/07/2024,Djurgarden,Varnamo,1,0,H,1.51,4.59,6.37
14/07/2024,Hacken,Elfsborg,3,5,A,1.99,3.95,3.57
14/07/2024,Kalmar,Brommapojkarna,0,1,A,2.58,3.65,2.69
14/07/2024,Vasteras SK,Norrkoping,2,1,H,1.68,4.22,4.88
15/07/2024,Halmstad,AIK,1,2,A,3.95,4,1.88
15/07/2024,Hammarby,Goteborg,0,1,A,2.06,3.83,3.49
19/07/2024,Sirius,Malmo FF,3,4,A,6.05,4.78,1.51
20/07/2024,Kalmar,Djurgarden,2,1,H,4.27,3.79,1.86
20/07/2024,Varnamo,Hacken,2,2,D,2.83,3.89,2.37
20/07/2024,Brommapojkarna,Hammarby,0,2,A,2.16,3.88,3.2
21/07/2024,Norrkoping,Halmstad,1,0,H,1.87,3.94,4.04
21/07/2024,Elfsborg,Mjallby,3,1,H,1.83,3.79,4.47
21/07/2024,Goteborg,Vasteras SK,1,1,D,2.04,3.78,3.59
22/07/2024,GAIS,AIK,2,0,H,2.77,3.69,2.49
27/07/2024,Norrkoping,Kalmar,2,0,H,2.38,3.69,2.93
27/07/2024,Goteborg,Brommapojkarna,3,4,A,2.04,3.69,3.66
27/07/2024,Malmo FF,Sirius,0,1,A,1.27,6.45,9.75
