Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
25/01/2020,Xamax,Servette,1,2,A,4.22,4,1.81
25/01/2020,Zurich,Luzern,2,3,A,2.28,3.41,3.24
26/01/2020,St. Gallen,Lugano,3,1,H,1.83,3.92,4.18
26/01/2020,Thun,Sion,2,1,H,2.48,3.33,2.97
26/01/2020,Young Boys,Basel,2,0,H,2,3.91,3.54
01/02/2020,Lugano,Xamax,1,1,D,1.78,3.83,4.63
01/02/2020,Luzern,Young Boys,2,0,H,4.78,4.01,1.72
02/02/2020,Basel,St. Gallen,1,2,A,1.74,4.16,4.44
02/02/2020,Servette,Thun,2,0,H,1.51,4.44,6.44
02/02/2020,Sion,Zurich,1,1,D,2.38,3.62,2.91
08/02/2020,Young Boys,Sion,1,0,H,1.3,5.64,10.2
08/02/2020,Zurich,Basel,0,4,A,3.31,3.62,2.17
09/02/2020,St. Gallen,Servette,1,0,H,2.03,4.04,3.36
09/02/2020,Thun,Lugano,3,2,H,3.03,3.25,2.49
09/02/2020,Xamax,Luzern,0,1,A,2.81,3.29,2.63
15/02/2020,Basel,Thun,0,1,A,1.36,5.17,8.74
15/02/2020,Sion,Xamax,1,2,A,2.46,3.39,2.96
16/02/2020,Lugano,Young Boys,2,1,H,4.39,3.71,1.85
16/02/2020,Luzern,St. Gallen,1,0,H,3.22,3.73,2.17
16/02/2020,Servette,Zurich,4,1,H,1.63,4.13,5.36
22/02/2020,Thun,Luzern,1,1,D,2.89,3.47,2.46
22/02/2020,Zurich,Xamax,1,1,D,2.08,3.7,3.48
23/02/2020,Basel,Servette,2,2,D,1.95,3.89,3.75
23/02/2020,Lugano,Sion,0,0,D,2.1,3.27,3.89
23/02/2020,St. Gallen,Young Boys,3,3,D,2.81,3.78,2.38
19/06/2020,Young Boys,Zurich,3,2,H,1.38,5.33,8
20/06/2020,Xamax,Thun,2,1,H,2.61,3.46,2.8
20/06/2020,Sion,St. Gallen,1,2,A,4.23,3.96,1.84
21/06/2020,Luzern,Basel,2,1,H,3.78,3.72,2.01
21/06/2020,Servette,Lugano,1,1,D,2.09,3.49,3.74
23/06/2020,Thun,Young Boys,1,0,H,6.35,4.69,1.51
24/06/2020,Xamax,Basel,1,2,A,4.31,3.79,1.86
