date,competition,stage,home_team,away_team,home_goals,away_goals,status
2025-09-16,CL,LEAGUE_STAGE,Ath Bilbao,Arsenal,0.0,2.0,FINISHED
2025-09-16,CL,LEAGUE_STAGE,PSV,Union SG,1.0,3.0,FINISHED
2025-09-16,CL,LEAGUE_STAGE,Juventus,Dortmund,4.0,4.0,FINISHED
2025-09-16,CL,LEAGUE_STAGE,SL Benfica,Qarabağ Ağdam,2.0,3.0,FINISHED
2025-09-16,CL,LEAGUE_STAGE,Tottenham,Villarreal,1.0,0.0,FINISHED
2025-09-16,CL,LEAGUE_STAGE,Real Madrid,Marseille,2.0,1.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Bayern Munich,Chelsea,3.0,1.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Liverpool,Ath Madrid,3.0,2.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Paris SG,Atalanta,4.0,0.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Olympiakos,Paphos FC,0.0,0.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Slavia Praha,Bodø/Glimt,2.0,2.0,FINISHED
2025-09-17,CL,LEAGUE_STAGE,Ajax,Inter,0.0,2.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,København,Leverkusen,2.0,2.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,Club Brugge,Monaco,4.0,1.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,Newcastle,Barcelona,1.0,2.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,Man City,Napoli,2.0,0.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,Ein Frankfurt,Galatasaray,5.0,1.0,FINISHED
2025-09-18,CL,LEAGUE_STAGE,Sporting CP,FK Kairat,4.0,1.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Bodø/Glimt,Tottenham,2.0,2.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Inter,Slavia Praha,3.0,0.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Chelsea,SL Benfica,1.0,0.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Marseille,Ajax,4.0,0.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Paphos FC,Bayern Munich,1.0,5.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Galatasaray,Liverpool,1.0,0.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Ath Madrid,Ein Frankfurt,5.0,1.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,FK Kairat,Real Madrid,0.0,5.0,FINISHED
2025-09-30,CL,LEAGUE_STAGE,Atalanta,Club Brugge,2.0,1.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Villarreal,Juventus,2.0,2.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Arsenal,Olympiakos,2.0,0.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Leverkusen,PSV,1.0,1.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Monaco,Man City,2.0,2.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Napoli,Sporting CP,2.0,1.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Dortmund,Ath Bilbao,4.0,1.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Union SG,Newcastle,0.0,4.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Qarabağ Ağdam,København,2.0,0.0,FINISHED
2025-10-01,CL,LEAGUE_STAGE,Barcelona,Paris SG,1.0,2.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,PSV,Napoli,6.0,2.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Newcastle,SL Benfica,3.0,0.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Arsenal,Ath Madrid,4.0,0.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Villarreal,Man City,0.0,2.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Leverkusen,Paris SG,2.0,7.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Union SG,Inter,0.0,4.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,FK Kairat,Paphos FC,0.0,0.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,Barcelona,Olympiakos,6.0,1.0,FINISHED
2025-10-21,CL,LEAGUE_STAGE,København,Dortmund,2.0,4.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Bayern Munich,Club Brugge,4.0,0.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Real Madrid,Juventus,1.0,0.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Chelsea,Ajax,5.0,1.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Monaco,Tottenham,0.0,0.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Ath Bilbao,Qarabağ Ağdam,3.0,1.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Atalanta,Slavia Praha,0.0,0.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Ein Frankfurt,Liverpool,1.0,5.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Sporting CP,Marseille,2.0,1.0,FINISHED
2025-10-22,CL,LEAGUE_STAGE,Galatasaray,Bodø/Glimt,3.0,1.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Liverpool,Real Madrid,1.0,0.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Paris SG,Bayern Munich,1.0,2.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Olympiakos,PSV,1.0,1.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Bodø/Glimt,Monaco,0.0,1.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Tottenham,København,4.0,0.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Ath Madrid,Union SG,3.0,1.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Juventus,Sporting CP,1.0,1.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Napoli,Ein Frankfurt,0.0,0.0,FINISHED
2025-11-04,CL,LEAGUE_STAGE,Slavia Praha,Arsenal,0.0,3.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Ajax,Galatasaray,0.0,3.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Marseille,Atalanta,0.0,1.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,SL Benfica,Leverkusen,0.0,1.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Club Brugge,Barcelona,3.0,3.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Newcastle,Ath Bilbao,2.0,0.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Inter,FK Kairat,2.0,1.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Qarabağ Ağdam,Chelsea,2.0,2.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Paphos FC,Villarreal,1.0,0.0,FINISHED
2025-11-05,CL,LEAGUE_STAGE,Man City,Dortmund,4.0,1.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Napoli,Qarabağ Ağdam,2.0,0.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Slavia Praha,Ath Bilbao,0.0,0.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Marseille,Newcastle,2.0,1.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Bodø/Glimt,Juventus,2.0,3.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Chelsea,Barcelona,3.0,0.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Dortmund,Villarreal,4.0,0.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Galatasaray,Union SG,0.0,1.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Ajax,SL Benfica,0.0,2.0,FINISHED
2025-11-25,CL,LEAGUE_STAGE,Man City,Leverkusen,0.0,2.0,FINISHED
