date,competition,stage,home_team,away_team,home_goals,away_goals,status
2024-09-17,CL,LEAGUE_STAGE,Young Boys,Aston Villa,0,3,FINISHED
2024-09-17,CL,LEAGUE_STAGE,Juventus,PSV,3,1,FINISHED
2024-09-17,CL,LEAGUE_STAGE,Sporting CP,Lille,2,0,FINISHED
2024-09-17,CL,LEAGUE_STAGE,Bayern Munich,Dinamo Zagreb,9,2,FINISHED
2024-09-17,CL,LEAGUE_STAGE,Real Madrid,Stuttgart,3,1,FINISHED
2024-09-17,CL,LEAGUE_STAGE,Milan,Liverpool,1,3,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Celtic,Sl. Bratislava,5,1,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Paris SG,Girona,1,0,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Club Brugge,Dortmund,0,3,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Sparta Praha,RB Salzburg,3,0,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Bologna,Shaktar,0,0,FINISHED
2024-09-18,CL,LEAGUE_STAGE,Man City,Inter,0,0,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Feyenoord,Leverkusen,0,4,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Crvena Zvedza,SL Benfica,1,2,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Monaco,Barcelona,2,1,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Brest,Sturm Graz,2,1,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Atalanta,Arsenal,0,0,FINISHED
2024-09-19,CL,LEAGUE_STAGE,Ath Madrid,RB Leipzig,2,1,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Inter,Crvena Zvedza,4,0,FINISHED
2024-10-01,CL,LEAGUE_STAGE,PSV,Sporting CP,1,1,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Arsenal,Paris SG,2,0,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Barcelona,Young Boys,5,0,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Leverkusen,Milan,1,0,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Sl. Bratislava,Man City,0,4,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Dortmund,Celtic,7,1,FINISHED
2024-10-01,CL,LEAGUE_STAGE,RB Salzburg,Brest,0,4,FINISHED
2024-10-01,CL,LEAGUE_STAGE,Stuttgart,Sparta Praha,1,1,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Dinamo Zagreb,Monaco,2,2,FINISHED
2024-10-02,CL,LEAGUE_STAGE,SL Benfica,Ath Madrid,4,0,FINISHED
2024-10-02,CL,LEAGUE_STAGE,RB Leipzig,Juventus,2,3,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Liverpool,Bologna,2,0,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Lille,Real Madrid,1,0,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Aston Villa,Bayern Munich,1,0,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Shaktar,Atalanta,0,3,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Girona,Feyenoord,2,3,FINISHED
2024-10-02,CL,LEAGUE_STAGE,Sturm Graz,Club Brugge,0,1,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Juventus,Stuttgart,0,1,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Arsenal,Shaktar,1,0,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Real Madrid,Dortmund,5,2,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Paris SG,PSV,1,1,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Sturm Graz,Sporting CP,0,2,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Aston Villa,Bologna,2,0,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Milan,Club Brugge,3,1,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Monaco,Crvena Zvedza,5,1,FINISHED
2024-10-22,CL,LEAGUE_STAGE,Girona,Sl. Bratislava,2,0,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Ath Madrid,Lille,1,3,FINISHED
2024-10-23,CL,LEAGUE_STAGE,RB Salzburg,Dinamo Zagreb,0,2,FINISHED
2024-10-23,CL,LEAGUE_STAGE,SL Benfica,Feyenoord,1,3,FINISHED
2024-10-23,CL,LEAGUE_STAGE,RB Leipzig,Liverpool,0,1,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Atalanta,Celtic,0,0,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Barcelona,Bayern Munich,4,1,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Young Boys,Inter,0,1,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Man City,Sparta Praha,5,0,FINISHED
2024-10-23,CL,LEAGUE_STAGE,Brest,Leverkusen,1,1,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Lille,Juventus,1,1,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Celtic,RB Leipzig,3,1,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Real Madrid,Milan,1,3,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Liverpool,Leverkusen,4,0,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Dortmund,Sturm Graz,1,0,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Bologna,Monaco,0,1,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Sporting CP,Man City,4,1,FINISHED
2024-11-05,CL,LEAGUE_STAGE,PSV,Girona,4,0,FINISHED
2024-11-05,CL,LEAGUE_STAGE,Sl. Bratislava,Dinamo Zagreb,1,4,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Crvena Zvedza,Barcelona,2,5,FINISHED
2024-11-06,CL,LEAGUE_STAGE,Feyenoord,RB Salzburg,1,3,FINISHED
